,Unnamed: 0,country,Overall_GGGap_Ind_Index,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)"
0,0,Albania,0.7,3.4747258893875,5.155555555555555
1,1,Algeria,0.6211111111111111,1.253584850022,2.711111111111111
2,2,Angola,0.64625,4.6014303459,6.4
3,3,Argentina,0.73,6.302918104475,8.733333333333333
4,4,Armenia,0.67,2.370744133475,5.2444444444444445
5,5,Australia,0.7311111111111112,0.98546559095875,12.277777777777779
6,6,Austria,0.7277777777777777,0.750735116195,15.855555555555554
7,7,Azerbaijan,0.6733333333333333,2.2478657612285713,4.177777777777778
8,8,Bahamas,0.7277777777777777,33.15169985928571,3.4555555555555557
9,9,Bahrain,0.6288888888888889,0.43987863001000005,7.833333333333333
10,10,Bangladesh,0.7,2.5786984926875,3.5888888888888886
11,11,Barbados,0.7366666666666667,9.16587804285,0.6
12,12,Belarus,0.7399999999999999,3.2931177359875,26.233333333333334
13,13,Belgium,0.7544444444444445,1.823103457242857,19.4
14,14,Belize,0.6644444444444445,36.01599405657143,6.377777777777777
15,15,Benin,0.6275,1.1274974068,8.122222222222222
16,16,Bhutan,0.6457142857142858,2.643623946885714,4.466666666666667
17,17,Bolivia (Plurinational State of),0.7311111111111112,8.98304859135,6.2444444444444445
18,18,Bosnia and Herzegovina,0.7,1.4115575428875,10.622222222222222
19,19,Botswana,0.7022222222222223,,19.355555555555554
20,20,Brazil,0.6855555555555556,27.9300183525,6.022222222222222
21,21,Brunei Darussalam,0.6777777777777778,0.5836884732866666,2.3555555555555556
22,22,Bulgaria,0.7277777777777777,1.5419188410375,10.399999999999999
23,23,Burkina Faso,0.6422222222222222,0.8169848879642857,7.8999999999999995
24,24,Burundi,0.7466666666666666,5.1792031675166665,6.655555555555555
25,25,Cabo Verde,0.7124999999999999,9.889419177825,14.222222222222221
26,26,Cambodia,0.6633333333333334,1.8430110785,5.088888888888889
27,27,Cameroon,0.66875,2.12011705135,9.711111111111112
28,28,Canada,0.75,1.6446834400124999,12.177777777777777
29,29,Chad,0.5722222222222223,,7.0
30,30,Chile,0.6977777777777777,3.3991647175625,9.88888888888889
31,31,China,0.6811111111111111,0.6908786018099999,8.466666666666667
32,32,Colombia,0.7177777777777777,29.446744584875,3.988888888888889
33,33,Costa Rica,0.7355555555555555,10.5321266290375,6.844444444444445
34,34,Cote d'Ivoire,0.5988888888888888,,10.077777777777778
35,35,Croatia,0.70875,0.9801977303975,16.788888888888888
36,36,Cuba,0.7422222222222222,5.343532585516667,13.988888888888889
37,37,Cyprus,0.6755555555555556,1.12495665376,4.622222222222223
38,38,Czechia,0.6866666666666666,0.7833680967214286,14.399999999999999
39,39,Democratic Republic of the Congo,0.58,,6.722222222222222
40,40,Denmark,0.7777777777777778,1.017086037555,11.633333333333333
41,41,Dominican Republic,0.6877777777777777,17.585016908857146,5.5888888888888895
42,42,Ecuador,0.7288888888888888,8.8655387226,9.0
43,43,Egypt,0.6055555555555556,2.87572521355,3.211111111111111
44,44,El Salvador,0.6866666666666666,64.54003990725,6.422222222222222
45,45,Estonia,0.7233333333333333,3.3695484492125,17.577777777777776
46,46,Eswatini,0.6759999999999999,11.136637050257141,37.17777777777778
47,47,Ethiopia,0.6422222222222222,8.7924785474,5.688888888888889
48,48,Fiji,0.64375,2.2828832891,9.522222222222222
49,49,Finland,0.8377777777777777,1.579664108175,16.01111111111111
50,50,France,0.7477777777777779,1.303534175625,15.744444444444444
51,51,Gambia,0.6571428571428573,,5.088888888888889
52,52,Georgia,0.6822222222222223,1.9569945528733335,9.711111111111112
53,53,Germany,0.7733333333333333,0.922857021465,13.0
54,54,Ghana,0.6855555555555556,1.969941843742857,7.277777777777778
55,55,Greece,0.6855555555555556,1.1351909437225,4.944444444444445
56,56,Guatemala,0.6566666666666667,30.257357096,5.933333333333334
57,57,Guinea,0.6366666666666667,,7.077777777777778
58,58,Guyana,0.706,17.8160297455,37.388888888888886
59,59,Honduras,0.6955555555555555,62.198650599000004,2.6666666666666665
60,60,Hungary,0.6711111111111111,1.799419426057143,20.311111111111114
61,61,Iceland,0.8677777777777778,0.64329725454875,12.988888888888889
62,62,India,0.6566666666666667,3.4514166401749997,13.022222222222222
63,63,Indonesia,0.6766666666666666,0.5344328857042857,2.4444444444444446
64,64,Iran (Islamic Republic of),0.5844444444444444,2.5812707184,6.222222222222222
65,65,Iraq,0.54,9.033394992033335,3.9777777777777774
66,66,Ireland,0.7911111111111111,0.9325657007325,10.677777777777777
67,67,Israel,0.7088888888888889,1.5449313197285715,5.288888888888889
68,68,Italy,0.7,0.75577517693875,7.1
69,69,Jamaica,0.7133333333333334,43.042735368875,2.211111111111111
70,70,Japan,0.6566666666666667,0.29301213386375,19.12222222222222
71,71,Jordan,0.6044444444444443,1.6837598479714286,1.5222222222222221
72,72,Kazakhstan,0.7144444444444444,6.314394789750001,23.233333333333334
73,73,Kenya,0.6911111111111111,5.0387546358375,5.777777777777778
74,74,Kuwait,0.6355555555555555,1.8419308628,2.5777777777777775
75,75,Kyrgyzstan,0.6933333333333332,5.223595224275,9.488888888888889
76,76,Lao People's Democratic Republic,0.7157142857142856,,5.622222222222223
77,77,Latvia,0.76,3.4558293320124998,21.11111111111111
78,78,Lebanon,0.6,3.4617012428,2.8444444444444446
79,79,Lesotho,0.7244444444444444,35.83653373825,81.72222222222223
80,80,Liberia,0.6633333333333334,3.6359055848499997,4.688888888888889
81,81,Lithuania,0.7322222222222222,5.7089221352875,33.34444444444445
