,Unnamed: 0,country,Overall_GGGap_Ind_Index,Avg_MALE_TOTAL
0,0,Albania,0.7,6.546666666666667
1,1,Algeria,0.6211111111111111,3.3655555555555554
2,2,Angola,0.64625,10.380733333333334
3,3,Argentina,0.73,14.328477777777778
4,4,Armenia,0.67,7.639744444444444
5,5,Australia,0.7311111111111112,18.262322222222224
6,6,Austria,0.7277777777777777,24.652077777777777
7,7,Azerbaijan,0.6733333333333333,6.703333333333333
8,8,Bahamas,0.7277777777777777,5.912222222222223
9,9,Bahrain,0.6288888888888889,10.972588888888888
10,10,Bangladesh,0.7,5.2588888888888885
11,11,Barbados,0.7366666666666667,0.9372222222222223
12,12,Belarus,0.7399999999999999,46.14115555555556
13,13,Belgium,0.7544444444444445,27.08532222222222
14,14,Belize,0.6644444444444445,11.181277777777778
15,15,Benin,0.6275,12.263233333333334
16,16,Bhutan,0.6457142857142858,6.16
17,17,Bolivia (Plurinational State of),0.7311111111111112,8.176666666666668
18,18,Bosnia and Herzegovina,0.7,17.02138888888889
19,19,Botswana,0.7022222222222223,31.596577777777775
20,20,Brazil,0.6855555555555556,9.36278888888889
21,21,Brunei Darussalam,0.6777777777777778,3.8255555555555554
22,22,Bulgaria,0.7277777777777777,16.49951111111111
23,23,Burkina Faso,0.6422222222222222,11.856422222222221
24,24,Burundi,0.7466666666666666,9.541144444444445
25,25,Cabo Verde,0.7124999999999999,23.653655555555556
26,26,Cambodia,0.6633333333333334,7.332222222222222
27,27,Cameroon,0.66875,14.619622222222224
28,28,Canada,0.75,18.07311111111111
29,29,Chad,0.5722222222222223,10.361511111111112
30,30,Chile,0.6977777777777777,16.36238888888889
31,31,China,0.6811111111111111,10.102388888888889
32,32,Colombia,0.7177777777777777,6.404444444444445
33,33,Costa Rica,0.7355555555555555,11.555155555555555
34,34,Cote d'Ivoire,0.5988888888888888,
35,35,Croatia,0.70875,26.080033333333333
36,36,Cuba,0.7422222222222222,22.338922222222223
37,37,Cyprus,0.6755555555555556,7.731522222222221
38,38,Czechia,0.6866666666666666,23.76068888888889
39,39,Democratic Republic of the Congo,0.58,10.622877777777779
40,40,Denmark,0.7777777777777778,16.479366666666667
41,41,Dominican Republic,0.6877777777777777,9.102122222222222
42,42,Ecuador,0.7288888888888888,13.480677777777778
43,43,Egypt,0.6055555555555556,4.291111111111111
44,44,El Salvador,0.6866666666666666,10.9388
45,45,Estonia,0.7233333333333333,29.888899999999996
46,46,Eswatini,0.6759999999999999,64.88704444444444
47,47,Ethiopia,0.6422222222222222,8.072222222222223
48,48,Fiji,0.64375,13.112022222222222
49,49,Finland,0.8377777777777777,24.451733333333337
50,50,France,0.7477777777777779,23.327544444444445
51,51,Gambia,0.6571428571428573,6.921111111111111
52,52,Georgia,0.6822222222222223,16.804433333333336
53,53,Germany,0.7733333333333333,19.377144444444443
54,54,Ghana,0.6855555555555556,12.9212
55,55,Greece,0.6855555555555556,8.126666666666667
56,56,Guatemala,0.6566666666666667,9.145911111111111
57,57,Guinea,0.6366666666666667,9.31111111111111
58,58,Guyana,0.706,58.662733333333335
59,59,Honduras,0.6955555555555555,4.547777777777778
60,60,Hungary,0.6711111111111111,32.20106666666666
61,61,Iceland,0.8677777777777778,20.1516
62,62,India,0.6566666666666667,14.564644444444443
63,63,Indonesia,0.6766666666666666,3.7077777777777774
64,64,Iran (Islamic Republic of),0.5844444444444444,8.962222222222222
65,65,Iraq,0.54,5.6066666666666665
66,66,Ireland,0.7911111111111111,17.25632222222222
67,67,Israel,0.7088888888888889,8.291111111111112
68,68,Italy,0.7,10.934199999999999
69,69,Jamaica,0.7133333333333334,3.427777777777778
70,70,Japan,0.6566666666666667,27.05801111111111
71,71,Jordan,0.6044444444444443,2.2866666666666666
72,72,Kazakhstan,0.7144444444444444,39.15397777777778
73,73,Kenya,0.6911111111111111,8.557777777777778
74,74,Kuwait,0.6355555555555555,3.811111111111111
75,75,Kyrgyzstan,0.6933333333333332,15.207977777777778
76,76,Lao People's Democratic Republic,0.7157142857142856,7.716666666666667
77,77,Latvia,0.76,37.64962222222222
78,78,Lebanon,0.6,3.8788888888888886
79,79,Lesotho,0.7244444444444444,131.11624444444445
80,80,Liberia,0.6633333333333334,5.601111111111111
81,81,Lithuania,0.7322222222222222,58.728255555555556
82,82,Luxembourg,0.7266666666666667,15.257355555555556
83,83,Madagascar,0.7,7.695555555555556
84,84,Malawi,0.6922222222222223,10.251444444444445
85,85,Malaysia,0.6622222222222223,7.564444444444444
86,86,Maldives,0.6566666666666667,4.132222222222222
87,87,Mali,0.5888888888888889,5.384444444444444
88,88,Malta,0.6755555555555556,10.428011111111111
89,89,Mauritania,0.6077777777777778,3.923333333333334
90,90,Mauritius,0.6544444444444445,14.442233333333332
91,91,Mexico,0.6966666666666667,8.813333333333333
92,92,Mongolia,0.711111111111111,34.10405555555556
93,93,Montenegro,0.695,31.210377777777776
94,94,Morocco,0.5933333333333333,10.1474
95,95,Mozambique,0.7344444444444443,22.85608888888889
96,96,Myanmar,0.68,5.221111111111111
97,97,Namibia,0.7477777777777779,17.754900000000003
98,98,Nepal,0.6422222222222222,15.695744444444443
99,99,Netherlands (Kingdom of the),0.7577777777777778,15.293233333333331
100,100,New Zealand,0.7855555555555556,17.619255555555558
101,101,Nicaragua,0.7811111111111111,7.0488888888888885
102,102,Nigeria,0.6333333333333333,5.526666666666667
103,103,North Macedonia,0.701111111111111,13.727055555555555
104,104,Norway,0.84,16.400677777777776
105,105,Oman,0.6025,7.275555555555556
106,106,Pakistan,0.5544444444444445,13.1295
